from,to,cost
0,1,17.76653623238896
0,2,16.95735758404457
0,3,15.56265301278093
0,4,14.951596155978478
0,5,14.656577807764045
0,6,15.336158709460559
0,7,15.607421829463982
0,8,14.892722677093422
0,9,14.757699175623236
0,10,15.769955987117712
0,11,16.238641160976496
0,12,16.878326113266816
0,13,18.65364905720374
0,14,19.627382051941296
0,15,20.24264372749332
0,16,20.759773759215847
0,17,21.446053781515708
0,18,22.47800377698041
0,19,23.140001794022716
0,20,22.88999629804385
0,21,22.81583698191113
0,22,22.841220005143004
0,23,22.729347825139357
0,24,11.389555816013088
0,25,12.069353132061364
0,26,12.431245835429959
0,27,12.714486121375314
0,28,12.642295237944538
0,29,12.877733128394691
0,30,13.032845392123287
0,31,13.214350799416618
0,32,12.979919671865948
0,33,12.887955949181926
0,34,12.9389140806059
0,35,12.574654928963449
0,36,11.457427442145475
0,37,10.497589604727514
0,38,9.51020563807788
0,39,9.679023331741028
0,40,13.354594417986918
0,41,14.092548810829623
0,42,14.993253855766314
0,43,15.334811333366094
0,44,16.056427799079696
0,45,17.61180309569389
0,46,18.463614683653727
0,47,18.993311647629763
0,48,19.480987044809137
0,49,19.82166181793894
0,50,19.98744406454793
0,51,20.271450956205218
0,52,20.7863567918113
0,53,21.47369031455177
0,54,20.881284018552293
0,55,19.81147986027769
0,56,19.04964588315153
0,57,20.127792259144798
0,58,22.006288751608352
0,59,23.30674161468466
0,60,1.9189344951412375
0,61,3.030765333868884
0,62,4.204550276781188
0,63,5.585980916659663
0,64,6.82442607173251
0,65,7.419842102106137
0,66,8.627836371014078
0,67,9.542655030149051
0,68,11.762408266622359
0,69,14.209883663351032
0,70,14.72172014834722
0,71,16.16660768375069
0,72,16.68932536232774
0,73,17.414164264162213
0,74,18.230327500999874
0,75,18.969793841583343
0,76,20.285345718730277
0,77,21.57350443937376
0,78,17.297454593654088
0,79,16.618627472495024
0,80,15.843306976102548
0,81,14.326455214796514
0,82,8.330627497819021
0,83,9.195796108402174
0,84,9.874171188176927
0,85,11.038414564591431
0,86,12.496123604946831
0,87,13.30284607867925
0,88,14.149888650152187
0,89,14.911156915019317
0,90,15.80490676625843
0,91,15.931011734375753
0,92,13.829690971221504
0,93,15.353609679730372
0,94,15.00866287810828
0,95,14.770639372028425
0,96,14.6939898955515
0,97,14.637394202762508
0,98,6.959347056843001
0,99,7.723438178635964
0,100,16.215649495036644
0,101,14.569660570251846
0,102,12.856312187742676
0,103,15.413454448519332
0,104,13.563240963356302
0,105,16.905260713162868
0,106,17.837676601862807
0,107,18.917313845131087
0,108,11.38861321676963
0,109,11.34855187269936
0,110,10.55555057887381
0,111,9.210509569763666
0,112,8.83014224548246
0,113,8.586480883317769
0,114,8.18094365112384
0,115,7.766130422372104
0,116,8.872913493439171
0,117,10.907717892975645
0,118,12.076558881995858
1,0,17.76653623238896
1,2,0.8635472330921115
1,3,2.5799523937249083
1,4,3.477357409199296
1,5,4.237232074583901
1,6,4.406995407180994
1,7,5.037052126279386
1,8,6.500994395420392
1,9,7.1401099393905625
1,10,7.387250535025375
1,11,7.564958589418178
1,12,7.7655101554359245
1,13,1.8931026986757586
1,14,2.4079399476221166
1,15,2.542788116418572
1,16,2.9964968847715663
1,17,3.777008528707421
1,18,4.807422726469753
1,19,5.552175088760825
1,20,5.737597047542707
1,21,5.9514758845781675
1,22,6.44738830010067
1,23,6.619015046597219
1,24,10.41875713425918
1,25,11.778724516055409
1,26,10.717378355549487
1,27,9.856858441885048
1,28,9.029625662095517
1,29,8.00249292740506
1,30,7.023631200435292
1,31,5.726000976586597
1,32,5.419927026979469
1,33,5.09942189360592
1,34,4.842801862181568
1,35,5.223792964512885
1,36,6.726865165428287
1,37,7.951881386816733
1,38,9.102241403121289
1,39,9.243601319900089
1,40,4.445075508103911
1,41,3.8178386223948024
1,42,3.2456670616114973
1,43,3.2899766120476395
1,44,3.3254342453651144
1,45,3.600950314072023
1,46,4.279877597379168
1,47,5.187419549433806
1,48,6.0497366791023515
1,49,6.7901653795464325
